Instrument Tag,Instrument Name
1,HMI::AIT-E-1.PV_Scaled:AIT-E-1_ATMOSPHERIC CHLORINE SENSOR
2,HMI::LT-E-1.PV_Scaled:LT-E-1_E TANK LEVEL
3,HMI::CIT-C-2.PV_Scaled:CIT-C-2_C STACK OUTLET CONDUCTIVITY
4,HMI::CIT-P-2.PV_Scaled:CIT-P-2_P STACK OUTLET CONDUCTIVITY
5,HMI::PT-C-1.PV_Scaled:PT-C-1_C PUMP OUTLET PRESSURE
6,HMI::PT-P-1.PV_Scaled:PT-P-1_P PUMP OUTLET PRESSURE
7,HMI::PT-E-1.PV_Scaled:PT-E-1_E PUMP OUTLET PRESSURE
8,HMI::CIT-P-3.PV_Scaled:CIT-P-3_P POST STACK 1 CONDUCTIVITY
10,HMI::FIT-CMW-1.PV_Scaled:FIT-CMW-1_CLEAN MAKEUP WATER FLOW
11,HMI::LT-CMW-1.PV_Scaled:LT-CMW-1_CLEAN MAKEUP WATER TANK LEVEL
12,HMI::PT-CA-1.PV_Scaled:PT-CA-1_COMPRESSED AIR PRESSURE
13,HMI::LT-C-2.PV_Scaled:LT-C-2_BRINE_WASTE TANK LEVEL
14,HMI::LT-P-2.PV_Scaled:LT-P-2_PRODUCT WATER TANK LEVEL
15,HMI::LT-UF-1.PV_Scaled:LT-UF-1_UF TANK LEVEL
16,HMI::PT-UF-1.PV_Scaled:PT-UF-1_UF SCREEN FILTER OUTLET PRESSURE
17,HMI::FIT-UF-1.PV_Scaled:FIT-UF-1_UF SCREEN FILTER OUTLET FLOW
18,HMI::FIT-UF-2.PV_Scaled:FIT-UF-2_UF DISCHARGE FLOW
19,HMI::FIT-FIL-1.PV_Scaled:FIT-FIL-1_UF FILTRATE OUTLET FLOW
20,HMI::PT-FIL-1.PV_Scaled:PT-FIL-1_UF FILTRATE OUTLET PRESSURE
21,HMI::AIT-FIL-1.PV_Scaled:AIT-FIL-1_UF FILTRATE pH
22,HMI::LT-C-1.PV_Scaled:LT-C-1_C TANK LEVEL
23,HMI::LT-P-1.PV_Scaled:LT-P-1_P TANK LEVEL
24,HMI::AIT-C-1.PV_Scaled:AIT-C-1_C PUMP OUTLET pH
25,HMI::AIT-P-1.PV_Scaled:AIT-P-1_P PUMP OUTLET  pH
26,HMI::CIT-C-1.PV_Scaled:CIT-C-1_C PUMP OUTLET CONDUCTIVITY
27,HMI::CIT-P-1.PV_Scaled:CIT-P-1_P PUMP OUTLET CONDUCTIVITY
28,HMI::TT-C-1.PV_Scaled:TT-C-1_C PUMP OUTLET TEMPERATURE
29,HMI::TT-P-1.PV_Scaled:TT-P-1_P PUMP OUTLET TEMPERATURE
30,HMI::FIT-C-1.PV_Scaled:FIT-C-1_C FLOW
31,HMI::FIT-P-1.PV_Scaled:FIT-P-1_P FLOW
32,HMI::LT-FLU-1.PV_Scaled:LT-FLU-1_FLUSH TANK LEVEL
33,HMI::LT-CIP-1.PV_Scaled:LT-CIP-1_CIP TANK LEVEL
34,HMI::AIT-CIP-1.PV_Scaled:AIT-CIP-1_CIP pH
39,HMI::EDR_DB_CC_CC_EDR_Stage1Voltage:STAGE 1 VOLTAGE
40,HMI::EDR_DB_CC_CC_EDR_Stage1Current:STAGE 1 CURRENT
41,HMI::EDR_DB_CC_CC_EDR_Stage2Voltage:STAGE2 VOLTAGE
42,HMI::EDR_DB_CC_CC_EDR_Stage2Current:STAGE 2 CURRENT
52,HMI::EDR_DB_CC_CC_EDR_Stage1VCellLive:STAGE 1 VOLTAGE PER CELL
53,HMI::EDR_DB_CC_CC_EDR_Stage2VCellLive:STAGE 2 VOLTAGE PER CELL
54,HMI::EDR_DB_CC_CC_EDR_Stage1Resistance:STAGE 1 STACK RESISTANCE
55,HMI::EDR_DB_CC_CC_EDR_Stage2Resistance:STAGE 2 STACK RESISTANCE
56,HMI::UF_DB_F_CC_UF_TMP:TMP-FILTERING
59,HMI::STAGE1_CURRENT_DENSITY:STAGE 1 CURRENT DENSITY
60,HMI::STAGE2_CURRENT_DENSITY:STAGE 2 CURRENT DENSITY
63,HMI::FCV-UF-1-POS-IW:UF FLOW CONTROL VALVE POSITION FEEDBACK
